y	st	lat	lon	col	prod	pob	area					
1992	IOWA	41.93358056	-93.48358056	65	4030	2806923	14574.3					
1992	KS	38.43878889	-98.40545556	28	1624	2526042	21309.6					
1992	KY	37.43447222	-85.09002778	4	120	3756358	10465.9					
1992	LA	31.39494444	-92.51678611	45	4815	4270849	13426.4					
1992	ME	45.45910278	-69.22576944	15	330	1238508	91.646					
1992	MI	44.34451944	-84.69451944	95	6460	9470323	25049.4					
1992	MN	46.37010556	-94.67010556	190	17100	4471503	22517.1					
1992	MS	32.77700556	-89.66033889	25	1625	2610193	12543.4					
1992	MO	38.43345278	-92.51678611	25	1925	5193686	18053.3					
1992	MT	47.19634167	-109.0463333	87	9570	822436	38083.8					
1992	NE	41.36925833	-99.635925	96	7200	1602406	20034.5					
1992	NJ	40.21587222	-74.49920556	8	176	7827770	2258.8					
1992	NY	43.17661667	-75.50995	70	4620	18082032	14129.9					
1992	NC	35.64380278	-79.37713611	15	675	6831850	13938.9					
1992	ND	47.43108889	-100.0527222	240	21840	635427	18311.2					
1992	OH	40.29351111	-82.82684444	43	1419	11007609	11609.6					
1992	OR	43.87287222	-120.0895278	52	2548	2973934	25480.5					
1992	PA	40.82463056	-77.64129722	30	1230	11980819	119.283					
1992	SD	44.47313333	-100.0231111	240	20400	708698	19973.1					
1992	TN	35.85901389	-86.47430556	7	301	5013999	10915.1					
1992	TX	31.58439444	-99.21844444	125	10625	17650479	69562.1					
1992	UT	39.44435556	-111.061	47	2632	1821498	21988.7					
1992	VT	44.15561667	-72.06024167	6	378	570115	2490.1					
1992	VA	37.55003056	-78.783875	13	494	6383315	11078.5					
1992	WA	47.41219444	-120.0288611	80	3520	5139011	18466.5					
1992	WV	38.72501944	-80.54168611	23	1265	1805462	6275.5					
1992	WI	44.59897778	-89.68231111	105	6930	5004636	16963.9					
1992	WY	43.07391389	-107.56	41	2870	463491	25333.6					
1993	AL	32.46189917	-86.79523056	19	855	4193639	13576.5					
1993	AZ	34.20952778	-111.0595278	55	4235	3993390	28635.1					
1993	ARK	34.41672972	-92.45006306	50	3650	2423743	13773.2					
1993	CAL	37.75058917	-120.0505889	500	45000	31147208	42397					
1993	COLO	38.96655833	-105.0998889	53	3869	3560884	26960.1					
1993	FLA	28.83524083	-81.91857417	200	22600	13713593	17030.4					
1993	GA	32.67768111	-83.52768056	80	4480	6894092	14999.8					
1993	HAW	19.51250278	-155.0625	9	1593	1161508	2831.1					
1993	ID	39.93660444	-86.21993611	133	9443	1101204	216.446					
1993	ILL	40.07544444	-89.30877778	15	720	11725984	14999.8					
1993	IND	39.86693611	-86.14471389	12	792	5701965	94.321					
1993	IOWA	41.93358056	-93.48358056	60	2940	2820525	14574.3					
1993	KS	38.43878889	-98.40545556	23	1311	2547605	21309.6					
1993	KY	37.43447222	-85.09002778	4	240	3792288	10465.9					
1993	LA	31.39494444	-92.51678611	47	4042	4284749	13426.4					
1993	ME	45.45910278	-69.22576944	15	540	1242302	91.646					
1993	MI	44.34451944	-84.69451944	90	6930	9529240	25049.4					
1993	MN	46.37010556	-94.67010556	180	14400	4521709	22517.1					
1993	MS	32.77700556	-89.66033889	17	1037	2635574	12543.4					
1993	MO	38.43345278	-92.51678611	24	1872	5237757	18053.3					
1993	MT	47.19634167	-109.0463333	87	8526	839876	38083.8					
1993	NE	41.36925833	-99.635925	83	5810	1612149	20034.5					
1993	NJ	40.21587222	-74.49920556	9	252	7874891	2258.8					
1993	NY	43.17661667	-75.50995	65	4030	18140894	14129.9					
1993	NC	35.64380278	-79.37713611	15	795	6947412	13938.9					
1993	ND	47.43108889	-100.0527222	220	19800	637229	18311.2					
1993	OH	40.29351111	-82.82684444	35	2310	11070385	11609.6					
1993	OR	43.87287222	-120.0895278	53	3551	3034490	25480.5					
1993	PA	40.82463056	-77.64129722	28	1120	12022128	119.283					
1993	SD	44.47313333	-100.0231111	245	24010	716258	19973.1					
1993	TN	35.85901389	-86.47430556	8	408	5085666	10915.1					
1993	TX	31.58439444	-99.21844444	105	8610	17996764	69562.1					
1993	UT	39.44435556	-111.061	42	2226	1875993	21988.7					
1993	VT	44.15561667	-72.06024167	6	492	574004	2490.1					
1993	VA	37.55003056	-78.783875	10	540	6464795	11078.5					
1993	WA	47.41219444	-120.0288611	60	2700	5247704	18466.5					
1993	WV	38.72501944	-80.54168611	20	740	1816179	6275.5					
1993	WI	44.59897778	-89.68231111	100	8200	5055318	16963.9					
1993	WY	43.07391389	-107.56	34	1870	469033	25333.6					
1994	AL	32.46189917	-86.79523056	18	900	4233214	13576.5					
1994	AZ	34.20952778	-111.0595278	47	2773	4147561	28635.1					
1994	ARK	34.41672972	-92.45006306	50	3550	2450605	13773.2					
1994	CAL	37.75058917	-120.0505889	400	24000	31317179	42397					
1994	COLO	38.96655833	-105.0998889	45	3420	3653910	26960.1					
1994	FLA	28.83524083	-81.91857417	230	19320	13961798	17030.4					
1994	GA	32.67768111	-83.52768056	80	5040	7045900	14999.8					
1994	HAW	19.51250278	-155.0625	11	1100	1173903	2831.1					
1994	ID	39.93660444	-86.21993611	127	7493	1135459	216.446					
1994	ILL	40.07544444	-89.30877778	13	1040	11804986	14999.8					
1994	IND	39.86693611	-86.14471389	13	702	5745626	94.321					
1994	IOWA	41.93358056	-93.48358056	55	3630	2829422	14574.3					
1994	KS	38.43878889	-98.40545556	19	893	2569118	21309.6					
1994	KY	37.43447222	-85.09002778	3	162	3823215	10465.9					
1994	LA	31.39494444	-92.51678611	35	3430	4306500	13426.4					
1994	ME	45.45910278	-69.22576944	8	440	1242662	91.646					
1994	MI	44.34451944	-84.69451944	90	7740	9584481	25049.4					
1994	MN	46.37010556	-94.67010556	170	13430	4566028	22517.1					
1994	MS	32.77700556	-89.66033889	19	1007	2663450	12543.4					
1994	MO	38.43345278	-92.51678611	25	1925	5281206	18053.3					
1994	MT	47.19634167	-109.0463333	119	12495	854923	38083.8					
1994	NE	41.36925833	-99.635925	72	3960	1621551	20034.5					
1994	NJ	40.21587222	-74.49920556	9	297	7918796	2258.8					
1994	NY	43.17661667	-75.50995	68	4624	18156652	14129.9					
1994	NC	35.64380278	-79.37713611	15	885	7060959	13938.9					
1994	ND	47.43108889	-100.0527222	235	32430	639762	18311.2					
1994	OH	40.29351111	-82.82684444	27	1728	11111451	11609.6					
1994	OR	43.87287222	-120.0895278	50	3250	3087142	25480.5					
1994	PA	40.82463056	-77.64129722	27	1269	12042545	119.283					
1994	SD	44.47313333	-100.0231111	260	26000	723038	19973.1					
1994	TN	35.85901389	-86.47430556	6	306	5163016	10915.1					
1994	TX	31.58439444	-99.21844444	103	7622	18338319	69562.1					
1994	UT	39.44435556	-111.061	43	2537	1930436	21988.7					
1994	VT	44.15561667	-72.06024167	5	385	578900	2490.1					
1994	VA	37.55003056	-78.783875	11	572	6536771	11078.5					
1994	WA	47.41219444	-120.0288611	60	3720	5334896	18466.5					
1994	WV	38.72501944	-80.54168611	20	880	1818490	6275.5					
